TERYT;district;entitled;voted;who_win;voter_turnout%
62000.0;zamojski;81250;50561;PiS;62.23
66100.0;Biała Podlaska;41155;27990;PiS;68.01
66200.0;Chełm;44694;27684;PO;61.94
66300.0;Lublin;253867;179330;PO;70.64
66400.0;Zamość;45361;28940;PiS;63.8
80100.0;gorzowski;54741;34919;PO;63.79
80200.0;krośnieński;40189;23287;PO;57.94
80300.0;międzyrzecki;42506;25384;PO;59.72
80400.0;nowosolski;62499;37752;PO;60.4
80500.0;słubicki;35102;20910;PO;59.57
80600.0;strzelecko-drezdenecki;35850;20419;PO;56.96
80700.0;sulęciński;25984;15530;PO;59.77
80800.0;świebodziński;41056;25453;PO;62.0
80900.0;zielonogórski;56766;35699;PO;62.89
81000.0;żagański;56201;32378;PO;57.61
81100.0;żarski;68925;40059;PO;58.12
81200.0;wschowski;28423;16895;PiS;59.44
86100.0;Gorzów Wielkopolski;84439;54677;PO;64.75
86200.0;Zielona Góra;102470;71644;PO;69.92
100100.0;bełchatowski;83911;57559;PiS;68.6
100200.0;kutnowski;71560;45076;PiS;62.99
100300.0;łaski;38540;25919;PiS;67.25
100400.0;łęczycki;38303;24094;PiS;62.9
100500.0;łowicki;59746;39614;PiS;66.3
100600.0;łódzki wschodni;58497;42750;PO;73.08
100700.0;opoczyński;56860;40360;PiS;70.98
100800.0;pabianicki;90846;64097;PO;70.56
100900.0;pajęczański;38981;25417;PiS;65.2
101000.0;piotrkowski;70774;48388;PiS;68.37
101100.0;poddębicki;32313;20775;PiS;64.29
101200.0;radomszczański;84440;53522;PiS;63.38
101300.0;rawski;36544;24331;PiS;66.58
101400.0;sieradzki;88774;57668;PiS;64.96
101500.0;skierniewicki;29479;20679;PiS;70.15
101600.0;tomaszowski;86172;59189;PiS;68.69
101700.0;wieluński;57693;37531;PiS;65.05
101800.0;wieruszowski;32418;20295;PiS;62.6
101900.0;zduńskowolski;48768;32278;PiS;66.19
102000.0;zgierski;127565;88533;PO;69.4
102100.0;brzeziński;23884;16221;PiS;67.92
106100.0;Łódź;491800;347623;PO;70.68
106200.0;Piotrków Trybunalski;52214;35089;PO;67.2
106300.0;Skierniewice;34626;24827;PO;71.7
120100.0;bocheński;82208;58100;PiS;70.67
120200.0;brzeski;70608;46360;PiS;65.66
120300.0;chrzanowski;92304;60884;PO;65.96
120400.0;dąbrowski;44720;26646;PiS;59.58
120500.0;gorlicki;81622;52226;PiS;63.99
120600.0;krakowski;225104;161886;PiS;71.92
120700.0;limanowski;98303;68972;PiS;70.16
120800.0;miechowski;37748;24232;PiS;64.19
120900.0;myślenicki;98558;71019;PiS;72.06
121000.0;nowosądecki;163040;115918;PiS;71.1
121100.0;nowotarski;145418;90523;PiS;62.25
121200.0;olkuski;83616;56948;PiS;68.11
121300.0;oświęcimski;114218;79297;PiS;69.43
121400.0;proszowicki;33701;21386;PiS;63.46
121500.0;suski;64083;42304;PiS;66.01
121600.0;tarnowski;152679;100487;PiS;65.82
